# Data from Straub L, Villamar-Bouza L, Bruckner S, Chantawannakul P, Gauthier L, Khongphinitbunjong K, Retschnig G, Troxler A, Vidondo-Curras B, Neumann P, Williams GR (2016) Neonicotinoid insecticides can serve as inadvertent insect contraceptives. Proceedings of the Royal Society B 283(1835): 20160506. http://dx.doi.org/10.1098/rspb.2016.0506
# Data from Dryad repository, Straub L, Villamar-Bouza L, Bruckner S, Chantawannakul P, Gauthier L, Khongphinitbunjong K, Retschnig G, Troxler A, Vidondo-Curras B, Neumann P, Williams GR (2016) Data from: Neonicotinoid insecticides can serve as inadvertent insect contraceptives. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.bs515
# Taken from the Excel file from the "Weight Drones" sheet.
Specimen,Colony,Cage,Sample-Nr.,Weight,Treatment,TreatmentNCSS
1,3,1,1,292,Control,1
2,3,1,2,296,Control,1
3,3,1,3,298,Control,1
4,3,1,4,290,Control,1
5,3,1,5,304,Control,1
6,3,1,6,293,Control,1
7,3,1,7,279,Control,1
8,3,1,8,312,Control,1
9,3,1,9,251,Control,1
10,3,1,10,307,Control,1
11,3,2,1,291,Control,1
12,3,2,2,309,Control,1
13,3,2,3,290,Control,1
14,3,2,4,261,Control,1
15,3,2,5,262,Control,1
16,3,2,6,284,Control,1
17,3,2,7,290,Control,1
18,3,2,8,302,Control,1
19,3,2,9,309,Control,1
20,3,2,10,294,Control,1
21,3,3,1,257,Control,1
22,3,3,2,294,Control,1
23,3,3,3,285,Control,1
24,3,3,4,291,Control,1
25,3,3,5,276,Control,1
26,3,3,6,295,Control,1
27,3,3,7,285,Control,1
28,3,3,8,295,Control,1
29,3,3,9,306,Control,1
30,3,3,10,315,Control,1
31,5,1,1,255.6,Control,1
32,5,1,2,283.7,Control,1
33,5,1,3,291.2,Control,1
34,5,1,4,269.7,Control,1
35,5,1,5,261.7,Control,1
36,5,1,6,298.5,Control,1
37,5,1,7,298.2,Control,1
38,5,1,8,292,Control,1
39,5,1,9,258.2,Control,1
40,5,1,10,310.4,Control,1
41,5,2,1,285.3,Control,1
42,5,2,2,273.7,Control,1
43,5,2,3,273.4,Control,1
44,5,2,4,272.3,Control,1
45,5,2,5,272.4,Control,1
46,5,2,6,271.9,Control,1
47,5,2,7,295.6,Control,1
48,5,2,8,274.5,Control,1
49,5,2,9,236.4,Control,1
50,5,2,10,277.2,Control,1
51,5,3,1,263.9,Control,1
52,5,3,2,272.1,Control,1
53,5,3,3,293.7,Control,1
54,5,3,4,263.3,Control,1
55,5,3,5,279,Control,1
56,5,3,6,291.2,Control,1
57,5,3,7,299.1,Control,1
58,5,3,8,287.1,Control,1
59,5,3,9,277.9,Control,1
60,5,3,10,268.7,Control,1
61,2,1,1,278.7,Control,1
62,2,1,2,286.2,Control,1
63,2,1,3,272.1,Control,1
64,2,1,4,269,Control,1
65,2,1,5,282.3,Control,1
66,2,1,6,304.9,Control,1
67,2,1,7,275.3,Control,1
68,2,1,8,293.4,Control,1
69,2,1,9,293.7,Control,1
70,2,1,10,289.2,Control,1
71,2,2,1,271,Control,1
72,2,2,2,259.5,Control,1
73,2,2,3,292.8,Control,1
74,2,2,4,302.2,Control,1
75,2,2,5,272.1,Control,1
76,2,2,6,285.8,Control,1
77,2,2,7,298.5,Control,1
78,2,2,8,284.5,Control,1
79,2,2,9,283,Control,1
80,2,2,10,291.3,Control,1
81,2,3,1,264.8,Control,1
82,2,3,2,267.2,Control,1
83,2,3,3,298,Control,1
84,2,3,4,292,Control,1
85,2,3,5,292.3,Control,1
86,2,3,6,283.4,Control,1
87,2,3,7,271.6,Control,1
88,2,3,8,286.6,Control,1
89,2,3,9,275.9,Control,1
90,2,3,10,267.5,Control,1
91,26,1,1,274,Control,1
92,26,1,2,259.2,Control,1
93,26,1,3,243.3,Control,1
94,26,1,4,252,Control,1
95,26,1,5,260.3,Control,1
96,26,1,6,267.1,Control,1
97,26,1,7,252.2,Control,1
98,26,1,8,239,Control,1
99,26,1,9,271.6,Control,1
100,26,1,10,276.5,Control,1
101,26,2,1,252.7,Control,1
102,26,2,2,256.6,Control,1
103,26,2,3,251,Control,1
104,26,2,4,263,Control,1
105,26,2,5,248.8,Control,1
106,26,2,6,253.1,Control,1
107,26,2,7,240.2,Control,1
108,26,2,8,242.6,Control,1
109,26,2,9,274,Control,1
110,26,2,10,232,Control,1
111,26,3,1,260.1,Control,1
112,26,3,2,245,Control,1
113,26,3,3,242.1,Control,1
114,26,3,4,249.2,Control,1
115,26,3,5,257.9,Control,1
116,26,3,6,253.1,Control,1
117,26,3,7,257.5,Control,1
118,26,3,8,261.6,Control,1
119,26,3,9,267.5,Control,1
120,26,3,10,265.6,Control,1
121,51,1,1,285.2,Control,1
122,51,1,2,286.8,Control,1
123,51,1,3,291.2,Control,1
124,51,1,4,283,Control,1
125,51,1,5,245,Control,1
126,51,1,6,276.3,Control,1
127,51,1,7,295.4,Control,1
128,51,1,8,271.2,Control,1
129,51,1,9,276,Control,1
130,51,1,10,278,Control,1
131,51,2,1,272.1,Control,1
132,51,2,2,252,Control,1
133,51,2,3,257.6,Control,1
134,51,2,4,259.1,Control,1
135,51,2,5,278.6,Control,1
136,51,2,6,273.7,Control,1
137,51,2,7,261.9,Control,1
138,51,2,8,264.4,Control,1
139,51,2,9,265,Control,1
140,51,2,10,283,Control,1
141,77,1,1,278.5,Control,1
142,77,1,2,278.73,Control,1
143,77,1,3,258.5,Control,1
144,77,1,4,277.5,Control,1
145,77,1,5,257.5,Control,1
146,77,1,6,302.9,Control,1
147,77,1,7,270,Control,1
148,77,1,8,261.4,Control,1
149,77,1,9,286.1,Control,1
150,77,1,10,280,Control,1
151,77,2,1,258.3,Control,1
152,77,2,2,281.4,Control,1
153,77,2,3,275.7,Control,1
154,77,2,4,279,Control,1
155,77,2,5,284,Control,1
156,77,2,6,268.2,Control,1
157,77,2,7,251.6,Control,1
158,77,2,8,308,Control,1
159,77,2,9,279.3,Control,1
160,77,2,10,262.3,Control,1
161,77,3,1,234.9,Control,1
162,77,3,2,295.4,Control,1
163,77,3,3,297.43,Control,1
164,77,3,4,264,Control,1
165,77,3,5,289.4,Control,1
166,77,3,6,281.4,Control,1
167,77,3,7,280.1,Control,1
168,77,3,8,270.9,Control,1
169,77,3,9,282.6,Control,1
170,77,3,10,283.5,Control,1
171,80,1,1,291.8,Control,1
172,80,1,2,287,Control,1
173,80,1,3,282.4,Control,1
174,80,1,4,288.4,Control,1
175,80,1,5,271.3,Control,1
176,80,1,6,302.7,Control,1
177,80,1,7,287.5,Control,1
178,80,1,8,298.7,Control,1
179,80,1,9,283.6,Control,1
180,80,1,10,294,Control,1
181,80,2,1,280.3,Control,1
182,80,2,2,277.6,Control,1
183,80,2,3,285.9,Control,1
184,80,2,4,273.9,Control,1
185,80,2,5,262.6,Control,1
186,80,2,6,283.6,Control,1
187,80,2,7,271.1,Control,1
188,80,2,8,285.8,Control,1
189,80,2,9,297.4,Control,1
190,80,2,10,262.9,Control,1
191,80,3,1,272.7,Control,1
192,80,3,2,271.5,Control,1
193,80,3,3,286.7,Control,1
194,80,3,4,283.1,Control,1
195,80,3,5,262.8,Control,1
196,80,3,6,278.4,Control,1
197,80,3,7,278.3,Control,1
198,80,3,8,278.2,Control,1
199,80,3,9,302.4,Control,1
200,80,3,10,280.1,Control,1
201,9,1,1,309,Pesticide,2
202,9,1,2,279.6,Pesticide,2
203,9,1,3,275.3,Pesticide,2
204,9,1,4,258,Pesticide,2
205,9,1,5,272.6,Pesticide,2
206,9,1,6,255.4,Pesticide,2
207,9,1,7,296.7,Pesticide,2
208,9,1,8,290.3,Pesticide,2
209,9,1,9,248.1,Pesticide,2
210,9,1,10,270.3,Pesticide,2
211,9,2,1,261,Pesticide,2
212,9,2,2,286.8,Pesticide,2
213,9,2,3,264.8,Pesticide,2
214,9,2,4,259.2,Pesticide,2
215,9,2,5,279.4,Pesticide,2
216,9,2,6,255.5,Pesticide,2
217,9,2,7,238.1,Pesticide,2
218,9,2,8,283.5,Pesticide,2
219,9,2,9,264.6,Pesticide,2
220,9,2,10,269.3,Pesticide,2
221,9,3,1,271,Pesticide,2
222,9,3,2,262,Pesticide,2
223,9,3,3,277.7,Pesticide,2
224,9,3,4,268.1,Pesticide,2
225,9,3,5,264.4,Pesticide,2
226,9,3,6,270.8,Pesticide,2
227,9,3,7,246.5,Pesticide,2
228,9,3,8,292.2,Pesticide,2
229,9,3,9,258.1,Pesticide,2
230,9,3,10,276,Pesticide,2
231,10,1,1,304.4,Pesticide,2
232,10,1,2,295.6,Pesticide,2
233,10,1,3,280.4,Pesticide,2
234,10,1,4,279.7,Pesticide,2
235,10,1,5,255.3,Pesticide,2
236,10,1,6,296.3,Pesticide,2
237,10,1,7,316.5,Pesticide,2
238,10,1,8,297.9,Pesticide,2
239,10,1,9,293.1,Pesticide,2
240,10,1,10,266.4,Pesticide,2
241,10,2,1,284.7,Pesticide,2
242,10,2,2,309,Pesticide,2
243,10,2,3,298.9,Pesticide,2
244,10,2,4,315.6,Pesticide,2
245,10,2,5,320,Pesticide,2
246,10,2,6,312.3,Pesticide,2
247,10,2,7,307.8,Pesticide,2
248,10,2,8,297.8,Pesticide,2
249,10,2,9,306.7,Pesticide,2
250,10,2,10,292,Pesticide,2
251,10,3,1,290.1,Pesticide,2
252,10,3,2,265.4,Pesticide,2
253,10,3,3,289,Pesticide,2
254,10,3,4,262,Pesticide,2
255,10,3,5,284.9,Pesticide,2
256,10,3,6,303.9,Pesticide,2
257,10,3,7,297.3,Pesticide,2
258,10,3,8,294.3,Pesticide,2
259,10,3,9,279.4,Pesticide,2
260,10,3,10,280.7,Pesticide,2
261,27,1,1,282.5,Pesticide,2
262,27,1,2,268,Pesticide,2
263,27,1,3,291,Pesticide,2
264,27,1,4,247.5,Pesticide,2
265,27,1,5,255.6,Pesticide,2
266,27,1,6,264.7,Pesticide,2
267,27,1,7,249.2,Pesticide,2
268,27,1,8,261.9,Pesticide,2
269,27,1,9,268.6,Pesticide,2
270,27,1,10,271.2,Pesticide,2
271,27,2,1,280.2,Pesticide,2
272,27,2,2,302.6,Pesticide,2
273,27,2,3,276.3,Pesticide,2
274,27,2,4,277.5,Pesticide,2
275,27,2,5,261.8,Pesticide,2
276,27,2,6,286.2,Pesticide,2
277,27,2,7,263,Pesticide,2
278,27,2,8,265.6,Pesticide,2
279,27,2,9,238.3,Pesticide,2
280,27,2,10,252.8,Pesticide,2
281,27,3,1,273.2,Pesticide,2
282,27,3,2,292,Pesticide,2
283,27,3,3,259.9,Pesticide,2
284,27,3,4,275.6,Pesticide,2
285,27,3,5,274.4,Pesticide,2
286,27,3,6,260.1,Pesticide,2
287,27,3,7,264.3,Pesticide,2
288,27,3,8,276.8,Pesticide,2
289,27,3,9,246,Pesticide,2
290,27,3,10,282.9,Pesticide,2
291,84,1,1,276.3,Pesticide,2
292,84,1,2,277.3,Pesticide,2
293,84,1,3,258.6,Pesticide,2
294,84,1,4,278.3,Pesticide,2
295,84,1,5,279.9,Pesticide,2
296,84,1,6,292,Pesticide,2
297,84,1,7,265.1,Pesticide,2
298,84,1,8,267.6,Pesticide,2
299,84,1,9,257,Pesticide,2
300,84,1,10,308,Pesticide,2
301,84,2,1,280.5,Pesticide,2
302,84,2,2,271.6,Pesticide,2
303,84,2,3,280.2,Pesticide,2
304,84,2,4,292.4,Pesticide,2
305,84,2,5,266.4,Pesticide,2
306,84,2,6,281.1,Pesticide,2
307,84,2,7,312.8,Pesticide,2
308,84,2,8,267.2,Pesticide,2
309,84,2,9,305.5,Pesticide,2
310,84,2,10,279.8,Pesticide,2
311,84,3,1,272.7,Pesticide,2
312,84,3,2,309,Pesticide,2
313,84,3,3,286.8,Pesticide,2
314,84,3,4,307,Pesticide,2
315,84,3,5,275.7,Pesticide,2
316,84,3,6,296.6,Pesticide,2
317,84,3,7,280.6,Pesticide,2
318,84,3,8,274.8,Pesticide,2
319,84,3,9,258.7,Pesticide,2
320,84,3,10,281.9,Pesticide,2
